engine_id,flight_cycle,max_cycle,sensor_T24,sensor_T30,sensor_T50,sensor_P30,sensor_Nf,sensor_Nc,vibration_rms,RUL_cycles,sensor_T24_rolling_mean_5,sensor_T24_rolling_std_5,sensor_T30_rolling_mean_5,sensor_T30_rolling_std_5,sensor_T50_rolling_mean_5,sensor_T50_rolling_std_5,sensor_P30_rolling_mean_5,sensor_P30_rolling_std_5,sensor_Nf_rolling_mean_5,sensor_Nf_rolling_std_5,sensor_Nc_rolling_mean_5,sensor_Nc_rolling_std_5,vibration_rms_rolling_mean_5,vibration_rms_rolling_std_5
1,1,242,641.78,1585.62,1400.43,553.41,2387.95,9049.91,0.019,241,641.78,0.0,1585.62,0.0,1400.43,0.0,553.41,0.0,2387.95,0.0,9049.91,0.0,0.019,0.0
1,2,242,641.8,1585.47,1399.16,553.02,2387.99,9050.02,0.0237,240,641.79,0.014142135623718088,1585.545,0.10606601717796604,1399.795,0.8980256121069025,553.2149999999999,0.2757716446627037,2387.97,0.028284271247436175,9049.965,0.07778174593093182,0.02135,0.0033234018715767714
1,3,242,641.79,1584.86,1400.2,552.77,2388.01,9049.98,0.0284,239,641.79,0.009999999999990905,1585.3166666666666,0.4025336424864195,1399.93,0.6766830868286727,553.0666666666666,0.3225419869308501,2387.983333333333,0.030550504633259232,9049.97,0.05567764362857628,0.0237,0.004699999999999999
1,4,242,641.96,1584.37,1401.72,552.39,2388.06,9050.55,0.0217,238,641.8325,0.08539125638303216,1585.08,0.5762522595762413,1400.3775,1.0518040058236238,552.8975,0.42874817783864216,2388.0025,0.04573474244693518,9050.115,0.29354159273700575,0.0232,0.003965686153324121
1,5,242,642.45,1585.45,1399.66,552.65,2388.03,9049.51,0.0209,237,641.9559999999999,0.28588459209970857,1585.154,0.5257661076943398,1400.234,0.9657535917613636,552.848,0.3874532229830628,2388.0080000000003,0.041472882706915834,9049.994,0.37125462960067984,0.02274,0.0035851080876313896
1,6,242,641.86,1584.45,1400.07,552.95,2388.06,9050.49,0.0245,236,641.972,0.27562655895252824,1584.92,0.5268775948928064,1400.1619999999998,0.9608954157451234,552.7560000000001,0.251356320787782,2388.0299999999997,0.030822070015096254,9050.109999999999,0.42514703338922194,0.02384,0.002935643030070243
1,7,242,641.64,1586.44,1400.71,553.79,2388.01,9051.15,0.0264,235,641.9399999999999,0.3079772718886972,1585.114,0.8558796644389638,1400.4720000000002,0.7920037878697698,552.9100000000001,0.532353266168219,2388.034,0.025099800796174954,9050.336,0.62070927172045,0.02438,0.0031443600302764312
1,8,242,642.04,1583.2,1400.66,552.74,2387.97,9049.98,0.0242,234,641.99,0.2976575213227526,1584.782,1.2224851737342275,1400.564,0.7791212999270893,552.904,0.5344904115135922,2388.026,0.037815340802811924,9050.336,0.62070927172045,0.02354,0.002230022421411945
1,9,242,641.38,1584.06,1400.85,553.2,2388.03,9050.13,0.027,233,641.874,0.4056846065603013,1584.72,1.2560055732360484,1400.3899999999999,0.50551953473636,553.066,0.4568697845119148,2388.02,0.0331662479042351,9050.251999999999,0.6128784545076783,0.0246,0.0023906066175763845
1,10,242,642.1,1584.82,1401.06,552.92,2387.96,9050.86,0.0288,232,641.8040000000001,0.2971195045767865,1584.594,1.194562681486407,1400.67,0.3695267243380304,553.1200000000001,0.4088398219351377,2388.006,0.04159326868699606,9050.522,0.4891523280133127,0.026180000000000002,0.0018926172354705039
